100111	明石	大学生（兼职）	平行飞跃
100112	明石	大学生（兼职）	平行飞跃
100113	明石	大学生（兼职）	平行飞跃
100114	明石	大学生（兼职）	平行飞跃
100121	水弹的明石	大学生（兼职）	平行飞跃
100122	水弹的明石	大学生（兼职）	平行飞跃
100211	目代	视频技术人员	平行飞跃
100212	目代	视频技术人员	平行飞跃
100213	目代	视频技术人员	平行飞跃
100214	目代	视频技术人员	平行飞跃
100221	圣夜的目代	视频技术人员	平行飞跃
100222	圣夜的目代	视频技术人员	平行飞跃
100311	苏伊	服装设计师	平行飞跃
100312	苏伊	服装设计师	平行飞跃
100313	苏伊	服装设计师	平行飞跃
100314	苏伊	服装设计师	平行飞跃
100411	雷奇	英雄办公室员工（営业职）	平行飞跃
100412	雷奇	英雄办公室员工（営业职）	平行飞跃
100413	雷奇	英雄办公室员工（営业职）	平行飞跃
100421	醉虎的雷奇	英雄办公室员工（営业职）	平行飞跃
100422	醉虎的雷奇	英雄办公室员工（営业职）	平行飞跃
100511	科罗尼	机械师	平行飞跃
100512	科罗尼	机械师	平行飞跃
100513	科罗尼	机械师	平行飞跃
100611	雁铭	刑事（巡查部长）	全球联盟英雄派遣军
100612	雁铭	刑事（巡查部长）	全球联盟英雄派遣军
100613	雁铭	刑事（巡查部长）	全球联盟英雄派遣军
100711	巴雷尔	警察（巡查）	全球联盟英雄派遣军
100712	巴雷尔	警察（巡查）	全球联盟英雄派遣军
100713	巴雷尔	警察（巡查）	全球联盟英雄派遣军
100721	清凉的巴雷尔	警察官（巡查）	全球联盟英雄派遣军
100722	清凉的巴雷尔	警察官（巡查）	全球联盟英雄派遣军
100811	巴隆	消防员	全球联盟英雄派遣军
100812	巴隆	消防员	全球联盟英雄派遣军
100813	巴隆	消防员	全球联盟英雄派遣军
100821	跳跃的巴隆	消防员	全球联盟英雄派遣军
100822	跳跃的巴隆	消防员	全球联盟英雄派遣军
100911	维多姆	高级救援队成员（助理指挥官）	全球联盟英雄派遣军
100912	维多姆	高级救援队成员（助理指挥官）	全球联盟英雄派遣军
100913	维多姆	高级救援队成员（助理指挥官）	全球联盟英雄派遣军
100921	豪爽的维多姆	高级救援队成员（助理指挥官）	全球联盟英雄派遣军
100922	豪爽的维多姆	高级救援队成员（助理指挥官）	全球联盟英雄派遣军
101011	恭一	小学老师	英勇教育者
101012	恭一	小学老师	英勇教育者
101013	恭一	小学老师	英勇教育者
101021	潜行的恭一	小学老师	英勇教育者
101022	潜行的恭一	小学老师	英勇教育者
101111	芙拉米	高中老师（化学）	英勇教育者
101112	芙拉米	高中老师（化学）	英勇教育者
101113	芙拉米	高中老师（化学）	英勇教育者
101121	花舞的芙拉米	高中老师（化学）	英勇教育者
101122	花舞的芙拉米	高中老师（化学）	英勇教育者
101123	花舞的芙拉米	高中老师（化学）	英勇教育者
101211	松烟	书法家	英勇教育者
101212	松烟	书法家	英勇教育者
101221	隐密的松烟	书法家	英勇教育者
101222	隐密的松烟	书法家	英勇教育者
101223	隐密的松烟	书法家	英勇教育者
101311	桐宗	剑道家	英勇教育者
101312	桐宗	剑道家	英勇教育者
101313	桐宗	剑道家	英勇教育者
101321	流離のトウシュウ	剣道家	ヒロイック・エデュケーターズ
101322	流離のトウシュウ	剣道家	ヒロイック・エデュケーターズ
101411	马尔菲克	大学教授（考古学）	英勇教育者
101412	马尔菲克	大学教授（考古学）	英勇教育者
101421	探险的马尔菲克	大学教授（考古学）	英勇教育者
101422	探险的马尔菲克	大学教授（考古学）	英勇教育者
101511	北极星面具	职业摔角手	银河运动员
101512	北极星面具	职业摔角手	银河运动员
101711	海多尔	游泳选手	银河运动员
101712	海多尔	游泳选手	银河运动员
101713	海多尔	游泳选手	银河运动员
101811	光希	儿童演员	新人才制作所
101812	光希	儿童演员	新人才制作所
101911	瞳	偶像歌手	新人才制作所
101912	瞳	偶像歌手	新人才制作所
101913	瞳	偶像歌手	新人才制作所
101921	波音的瞳	偶像歌手	新人才制作所
101922	波音的瞳	偶像歌手	新人才制作所
101923	波音的瞳	偶像歌手	新人才制作所
102011	拉格达	外科医生	M.A.H.A.
102012	拉格达	外科医生	M.A.H.A.
102013	拉格达	外科医生	M.A.H.A.
102014	拉格达	外科医生	M.A.H.A.
102111	洛伦	看护师	M.A.H.A.
102112	洛伦	看护师	M.A.H.A.
102113	洛伦	看护师	M.A.H.A.
